,Open time,Date,Open,High,Low,Close,Volume
1204,1532216760000,2018-07-21_23:46:00,7415.74,7487.49,7339.0,7425.26,4779.614994999999
1205,1532231160000,2018-07-22_03:46:00,7427.97,7427.98,7370.1,7394.02,3744.1833920000013
1206,1532245560000,2018-07-22_07:46:00,7395.0,7469.99,7392.02,7459.95,4096.228396999999
1207,1532259960000,2018-07-22_11:46:00,7461.94,7555.0,7429.92,7516.0,5685.667662000001
1208,1532274360000,2018-07-22_15:46:00,7519.91,7539.9,7484.4,7524.84,5231.035616000002
1209,1532288760000,2018-07-22_19:46:00,7523.95,7582.4,7335.5,7406.34,6696.150191000002
1210,1532303160000,2018-07-22_23:46:00,7409.97,7670.0,7375.0,7617.3,8405.978361000001
1211,1532317560000,2018-07-23_03:46:00,7618.09,7790.0,7615.0,7735.0,6095.213648999998
1212,1532331960000,2018-07-23_07:46:00,7744.0,7768.83,7666.0,7681.01,7793.527151
1213,1532346360000,2018-07-23_11:46:00,7684.0,7743.51,7666.0,7736.1,5531.7966190000025
1214,1532360760000,2018-07-23_15:46:00,7738.96,7833.0,7638.8,7769.16,8800.168133
1215,1532375160000,2018-07-23_19:46:00,7764.08,7780.0,7699.0,7716.96,5078.779972000002
1216,1532389560000,2018-07-23_23:46:00,7709.07,7794.94,7696.0,7774.96,5447.172669999999
1217,1532403960000,2018-07-24_03:46:00,7789.45,8047.37,7751.0,8030.1,13892.162170999996
1218,1532418360000,2018-07-24_07:46:00,8021.04,8199.0,7966.1,8185.11,9021.764252999998
1219,1532432760000,2018-07-24_11:46:00,8181.02,8371.93,8120.01,8189.32,15789.034865999996
1220,1532447160000,2018-07-24_15:46:00,8178.6,8312.16,8160.9,8259.8,7564.532914000003
1221,1532461560000,2018-07-24_19:46:00,8256.5,8443.47,8185.0,8442.22,7427.281297999997
1222,1532475960000,2018-07-24_23:46:00,8431.9,8491.77,8293.0,8364.01,9978.88677
1223,1532490360000,2018-07-25_03:46:00,8360.02,8450.0,8296.3,8344.98,6566.163750999996
1224,1532504760000,2018-07-25_07:46:00,8340.05,8355.37,8137.01,8221.0,9018.805032999995
1225,1532519160000,2018-07-25_11:46:00,8220.2,8229.58,8050.0,8090.0,8229.421570999997
1226,1532533560000,2018-07-25_15:46:00,8088.27,8179.16,8061.0,8143.86,7620.638524999996
1227,1532547960000,2018-07-25_19:46:00,8132.53,8337.6,8124.0,8204.02,7547.458191
1228,1532562360000,2018-07-25_23:46:00,8203.98,8264.73,8162.0,8233.99,5227.410508000002
